Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-10-02,Cadiz,Valencia,D,2,16,1,4,16,11,1,3,3,4,0,0
2021-10-02,Ath Madrid,Barcelona,H,6,9,3,2,13,10,2,6,2,1,0,0
2021-10-03,Elche,Celta,H,12,10,5,1,14,19,7,4,4,3,0,0
2021-10-03,Espanol,Real Madrid,H,8,18,4,4,12,13,2,8,2,1,0,0
2021-10-03,Getafe,Sociedad,D,9,10,2,5,16,11,2,5,4,2,0,0
2021-10-03,Villarreal,Betis,H,11,10,5,3,14,9,4,6,2,4,0,0
2021-10-03,Granada,Sevilla,H,3,14,1,3,13,11,2,6,3,4,0,1
2021-10-16,Sociedad,Mallorca,H,10,7,2,1,11,21,2,6,3,3,1,0
2021-10-16,Levante,Getafe,D,6,14,2,4,14,10,3,11,3,3,0,0
2021-10-17,Vallecano,Elche,H,10,7,4,3,16,11,6,2,2,2,0,0
2021-10-17,Celta,Sevilla,A,14,8,3,2,13,9,5,4,2,3,0,0
2021-10-17,Villarreal,Osasuna,A,11,6,6,2,6,14,4,4,1,5,0,0
2021-10-17,Barcelona,Valencia,H,12,9,5,3,16,13,9,3,2,3,0,0
2021-10-18,Alaves,Betis,A,14,19,2,4,8,11,7,7,1,1,0,0
2021-10-18,Espanol,Cadiz,H,14,13,6,2,8,10,7,9,1,0,0,0
2021-10-22,Osasuna,Granada,D,17,9,6,4,15,11,4,1,1,3,1,0
2021-10-23,Elche,Espanol,D,12,20,7,7,15,9,3,7,3,1,0,0
2021-10-23,Ath Bilbao,Villarreal,H,14,11,7,3,7,12,9,2,0,3,0,0
2021-10-23,Valencia,Mallorca,D,20,9,6,4,15,19,5,0,4,5,0,2
2021-10-23,Cadiz,Alaves,A,23,8,4,4,11,14,14,3,0,2,0,0
2021-10-24,Betis,Vallecano,H,11,14,5,3,12,12,4,4,1,2,0,0
2021-10-24,Ath Madrid,Sociedad,D,17,8,4,4,14,14,4,3,1,3,0,0
2021-10-24,Sevilla,Levante,H,18,12,11,7,13,6,10,3,1,2,0,0
2021-10-24,Barcelona,Real Madrid,A,12,10,2,5,17,13,7,4,1,1,0,0
2021-10-25,Getafe,Celta,A,11,16,2,8,15,11,2,7,2,2,2,0
2021-10-26,Alaves,Elche,H,16,4,5,1,13,9,4,7,1,1,0,0
2021-10-26,Espanol,Ath Bilbao,D,14,23,3,7,7,12,8,12,1,2,1,0
2021-10-26,Villarreal,Cadiz,D,14,9,5,4,13,9,8,2,3,6,0,0
2021-10-27,Mallorca,Sevilla,D,11,10,4,3,16,14,4,2,3,6,1,0
2021-10-27,Vallecano,Barcelona,H,13,16,3,1,17,12,3,7,2,2,0,0
2021-10-27,Betis,Valencia,H,14,10,9,4,14,19,4,7,2,5,0,0
2021-10-27,Real Madrid,Osasuna,D,17,7,3,0,12,10,11,3,1,1,0,0
2021-10-28,Levante,Ath Madrid,D,10,7,3,3,15,11,5,2,3,5,1,0
2021-10-28,Celta,Sociedad,A,14,11,6,4,12,11,7,6,1,0,0,0
2021-10-28,Granada,Getafe,D,18,6,3,4,10,15,5,0,1,4,0,0
2021-10-30,Elche,Real Madrid,A,13,17,4,5,11,13,5,4,2,0,1,0
2021-10-30,Sevilla,Osasuna,H,16,10,4,3,17,10,4,5,2,2,0,0
2021-10-30,Valencia,Villarreal,H,9,11,3,1,19,17,7,6,2,4,0,0
2021-10-30,Barcelona,Alaves,D,16,3,5,2,11,11,9,0,0,2,0,0
2021-10-31,Getafe,Espanol,H,12,10,7,3,18,11,6,11,7,4,0,0
2021-10-31,Cadiz,Mallorca,D,13,11,2,5,14,16,6,5,3,7,0,2
2021-10-31,Ath Madrid,Betis,H,18,8,9,1,11,12,13,0,0,0,0,0
2021-10-31,Sociedad,Ath Bilbao,D,8,11,3,5,21,14,2,7,4,3,0,1
2021-11-01,Levante,Granada,A,12,12,3,6,14,13,3,5,4,2,0,0
2021-11-01,Vallecano,Celta,D,11,10,5,4,13,14,4,7,2,5,0,0
2021-11-05,Ath Bilbao,Cadiz,A,15,8,5,4,14,19,5,1,2,1,0,0
2021-11-06,Espanol,Granada,H,17,18,6,5,12,8,5,3,1,1,0,0
2021-11-06,Celta,Barcelona,D,18,10,4,6,18,18,3,1,3,6,0,0
2021-11-06,Alaves,Levante,H,10,12,3,7,21,17,1,3,3,3,0,0
2021-11-06,Real Madrid,Vallecano,H,15,19,7,7,8,14,4,5,1,2,0,0
2021-11-07,Betis,Sevilla,A,8,11,1,2,12,13,2,1,3,1,1,0
2021-11-07,Villarreal,Getafe,H,10,5,4,2,12,13,6,4,1,1,0,0
2021-11-07,Valencia,Ath Madrid,D,11,13,5,7,12,17,9,0,2,2,0,0
2021-11-07,Mallorca,Elche,D,18,7,6,2,11,19,3,3,2,3,0,0
2021-11-07,Osasuna,Sociedad,A,6,9,2,4,11,12,5,2,0,2,0,0
2021-11-19,Levante,Ath Bilbao,D,15,7,2,2,16,7,6,3,2,1,0,0
2021-11-20,Celta,Villarreal,D,12,18,3,6,14,17,3,5,1,1,0,0
2021-11-20,Sevilla,Alaves,D,16,8,6,3,14,17,5,2,4,4,0,0
2021-11-20,Ath Madrid,Osasuna,H,15,9,2,3,7,8,7,4,2,2,0,0
2021-11-20,Barcelona,Espanol,H,16,12,6,2,17,9,4,4,4,2,0,0
2021-11-21,Getafe,Cadiz,H,17,10,8,2,14,7,3,7,2,4,0,0
2021-11-21,Granada,Real Madrid,A,11,21,3,10,10,7,9,6,1,1,1,0
2021-11-21,Elche,Betis,A,14,9,4,4,12,14,10,1,1,2,0,1
2021-11-21,Sociedad,Valencia,D,9,8,2,3,11,16,2,4,4,7,1,0
2021-11-22,Vallecano,Mallorca,H,15,11,6,5,14,17,6,4,3,2,0,0
2021-11-26,Ath Bilbao,Granada,D,17,8,5,4,12,9,8,3,1,1,1,0
2021-11-27,Mallorca,Getafe,D,12,11,2,0,8,19,2,0,3,0,0,0
2021-11-27,Villarreal,Barcelona,A,14,12,2,6,19,14,4,4,2,2,0,0
2021-11-27,Alaves,Celta,A,13,8,5,5,12,15,5,3,3,2,0,0
2021-11-27,Valencia,Vallecano,D,8,12,4,6,18,15,3,9,6,5,0,0
2021-11-28,Betis,Levante,H,26,8,8,2,16,9,5,8,2,3,0,0
2021-11-28,Espanol,Sociedad,H,8,10,2,4,15,7,2,9,1,1,0,0
2021-11-28,Cadiz,Ath Madrid,A,8,17,0,7,13,11,4,8,2,0,0,0
2021-11-28,Real Madrid,Sevilla,H,14,11,4,6,10,9,0,4,3,3,0,0
2021-11-29,Osasuna,Elche,D,17,10,4,4,16,12,5,4,1,3,0,0
2021-12-01,Real Madrid,Ath Bilbao,H,17,18,7,2,12,13,7,6,2,3,0,0
2021-12-03,Granada,Alaves,H,9,14,2,2,17,15,3,5,2,2,0,0
2021-12-04,Ath Madrid,Mallorca,A,14,10,6,3,13,16,8,5,2,5,0,0
2021-12-04,Sociedad,Real Madrid,A,11,13,0,8,12,8,5,5,2,0,0,0
2021-12-04,Sevilla,Villarreal,H,8,16,3,2,9,10,5,8,2,2,0,0
2021-12-04,Barcelona,Betis,A,12,8,3,2,17,12,6,1,1,2,0,0
2021-12-05,Elche,Cadiz,H,8,15,3,6,16,15,3,3,7,3,0,0
2021-12-05,Levante,Osasuna,D,11,11,3,1,12,16,7,2,2,3,0,0
